"Status","Name","Duration in ms","Description"
"passed","Steps..checkImagesEquivalence()","3",""
"passed","Image.._loadImg()","2",""
"passed","Image.instance","4",""
"passed","Image.._getDiffValue()","1",""
"passed","Image..includes()","4",""
"passed","Image.._saveMatchImage()","3",""
"passed","Image.._getUsedPixels()","2",""
"passed","Image..isTransparent()","3",""
"passed","Steps.._displayScreenshot()","2",""
"passed","Steps.._cutElement()","15",""
"passed","Image.._isPixelTolerant()","2",""
"passed","Image.._isPixelUsed()","6",""
"passed","e2e tests.Images processing","57852",""
"passed","Steps..makeScreenshot()","7",""
"passed","Image..isBlack()","3",""
"passed","Steps..__getElementLocation()","3",""
"passed","fixtures.fxScreenOnFail","979",""
"passed","help.plugin help contains option","1",""
"passed","import.Plugin lazy import","2",""
"passed","fixtures.afterChunkCb","7",""
"passed","Image.._cropPixels()","6",""
"passed","Image..isWhite()","5",""
"passed","e2e tests.Image resizing","4480",""
"passed","Image.._getPixels()","7",""
"passed","Image.._includes()","3",""
"passed","Image..isMonochrome()","3",""
